iter	RMSE
0	270.7596479
1	267.460296
2	264.1390005
3	261.0223884
4	257.8711245
5	254.7763156
6	251.7750286
7	249.1354361
8	246.5706268
9	244.0147028
10	241.2924599
11	238.7601255
12	236.0844771
13	233.8439681
14	231.6841787
15	229.3706631
16	227.4383624
17	225.4207398
18	223.5295355
19	221.5399596
20	219.7464935
21	217.8608896
22	216.0307875
23	214.2078917
24	212.6048218
25	211.1939081
26	209.2191768
27	207.52946
28	206.105416
29	204.6425016
30	203.2878361
31	202.0551222
32	200.8332009
33	199.6137996
34	198.1851021
35	196.6734578
36	195.1862572
37	194.0093732
38	192.7643153
39	191.3747176
40	190.0288356
41	188.7590545
42	187.70481
43	186.6365053
44	185.3622658
45	184.155903
46	183.0815691
47	182.0481348
48	181.1959932
49	180.1478236
50	179.295321
51	178.6064541
52	177.543499
53	176.6930036
54	175.7470484
55	174.6112831
56	173.7328921
57	172.9672396
58	171.9122016
59	171.103258
60	170.1203344
61	169.5602644
62	168.8192945
63	167.9870531
64	167.2600375
65	166.5731897
66	165.7997721
67	165.1030452
68	164.3551651
69	163.8207275
70	163.3121972
71	162.510697
72	161.8469356
73	160.9500868
74	160.236457
75	159.6418485
76	158.9667898
77	158.5384003
78	157.964568
79	157.404723
80	156.8197893
81	156.2812609
82	155.6980743
83	155.0963882
84	154.6008269
85	154.2126893
86	153.6439896
87	153.0684178
88	152.5672874
89	151.8643788
90	151.1877273
91	151.1218949
92	150.6499359
93	150.219328
94	149.765356
95	149.2121444
96	148.8657593
97	148.4825096
98	147.9455533
99	147.492465
100	147.0497446
101	146.5893869
102	146.1100617
103	145.6435182
104	145.2769389
105	144.8430761
106	144.5129486
107	144.1571236
108	143.7569347
109	143.3725941
110	142.9627918
111	142.5001558
112	142.1772826
113	141.8209207
114	141.4186343
115	141.1476533
116	140.7174133
117	140.4299161
118	140.1162026
119	139.8289104
120	139.5502036
121	139.2413425
122	139.0544384
123	138.7308389
124	138.3380737
125	138.0856698
126	137.7375932
127	137.382915
128	137.0901911
129	136.797659
130	136.4786366
131	136.0885186
132	135.833906
133	135.3584569
134	134.9759898
135	134.7819689
136	134.3961588
137	134.0650357
138	133.8323837
139	133.6120546
140	133.3719995
141	133.0579839
142	132.6680323
143	132.319878
144	132.1338407
145	131.7476415
146	131.4770234
147	131.0870638
148	130.7272928
149	130.3336968
150	130.069934
151	129.8680031
152	129.4943513
153	129.2551226
154	128.8957307
155	128.4480452
156	128.2179046
157	127.8460631
158	127.5243894
159	127.4009858
160	127.1426315
161	126.8135614
162	126.6241877
163	126.4530769
164	126.1295955
165	126.0175103
166	125.6216236
167	125.2893926
168	125.1892295
169	125.0564744
170	124.8135096
171	124.6052704
172	124.3302736
173	124.1746619
174	124.036875
175	123.771296
